2025-07-06 21:12:15,801 - sltp - INFO - Starting the SL/TP checker task (triggered by market updates).
2025-07-06 21:12:16,506 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:12:18,756 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:12:21,009 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:12:38,967 - sltp - INFO - Starting the SL/TP checker task (triggered by market updates).
2025-07-06 21:12:39,444 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:12:41,796 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:12:44,028 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:12:46,318 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:12:48,656 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:12:50,910 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:12:53,185 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:12:55,525 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:12:57,799 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:00,119 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:02,427 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:04,732 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:07,042 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:09,373 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:11,624 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:13,936 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:16,239 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:18,540 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:20,850 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:23,148 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:25,436 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:27,748 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:30,041 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:32,319 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:34,597 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:36,909 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:39,185 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:41,522 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:43,764 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:46,120 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:48,428 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:50,738 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:52,964 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:55,335 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:57,593 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:13:59,872 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:02,198 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:04,471 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:06,726 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:09,084 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:11,323 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:13,668 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:15,919 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:18,192 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:20,512 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:22,789 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:25,031 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:27,388 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:29,743 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:31,988 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:34,347 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-06 21:14:36,592 - sltp - INFO - Market data update received, triggering SL/TP check
