2025-07-03 23:42:26,042 - sltp - INFO - Starting the SL/TP checker task (triggered by market updates).
2025-07-03 23:42:27,591 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:29,850 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:32,225 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:34,207 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:34,735 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:36,799 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:39,064 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:41,419 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:43,238 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:43,752 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:46,013 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:48,283 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:50,625 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:52,885 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:55,229 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:57,568 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:42:59,821 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-03 23:43:02,176 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:16:45,312 - sltp - INFO - Starting the SL/TP checker task (triggered by market updates).
2025-07-04 00:16:45,541 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:16:47,882 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:16:50,121 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:16:52,390 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:16:54,739 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:16:56,989 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:16:59,328 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:01,633 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:03,942 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:05,350 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:06,303 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:08,204 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:08,770 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:10,801 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:13,162 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:14,139 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:15,353 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:15,658 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:17,776 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:19,985 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:23,210 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:25,461 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:27,713 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:30,060 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:32,302 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:34,674 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:36,880 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:39,172 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:41,419 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:43,803 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:46,150 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:48,390 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:50,641 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:52,992 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:55,241 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:57,584 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:17:59,845 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:02,099 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:04,456 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:06,722 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:09,073 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:11,340 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:13,677 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:15,913 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:18,275 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:20,550 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:22,793 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:25,134 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:27,420 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:29,752 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:32,011 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:34,381 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:36,628 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:38,900 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:41,227 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:43,489 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:45,820 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:18:48,100 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:32:20,284 - sltp - INFO - Starting the SL/TP checker task (triggered by market updates).
2025-07-04 00:32:21,719 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:32:24,004 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:32:26,252 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:32:28,606 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:32:30,824 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:32:33,100 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:32:35,497 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:32:37,723 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:32:39,964 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:32:42,330 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:38:51,545 - sltp - INFO - Starting the SL/TP checker task (triggered by market updates).
2025-07-04 00:38:53,702 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:38:54,995 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:38:56,057 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:38:58,438 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:00,691 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:03,025 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:05,269 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:07,628 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:09,980 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:12,234 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:14,588 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:16,944 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:19,152 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:21,470 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:23,832 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:26,159 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:28,417 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:30,779 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:33,145 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:35,390 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:37,743 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:40,048 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:42,409 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:44,705 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:47,062 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:49,313 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:51,577 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:53,924 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:56,166 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:39:58,530 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:00,784 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:03,137 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:05,391 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:07,751 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:10,000 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:12,361 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:14,709 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:16,964 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:19,322 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:21,570 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:23,921 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:26,176 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:28,491 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:30,786 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:33,140 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:35,393 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:37,647 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:39,964 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:42,262 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:44,600 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:46,861 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:49,149 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:51,466 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:53,823 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:56,092 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:40:58,332 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:00,686 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:02,907 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:05,599 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:07,855 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:10,201 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:12,477 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:14,845 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:17,124 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:19,380 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:21,673 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:23,983 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:26,271 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:28,567 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:30,938 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:33,193 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:35,429 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:37,791 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:40,129 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:42,505 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:44,759 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:47,099 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:49,369 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:51,611 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:53,976 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:56,232 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:41:58,895 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:01,125 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:03,493 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:05,734 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:08,027 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:10,361 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:12,728 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:14,972 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:17,221 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:19,495 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:21,832 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:24,150 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:26,370 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:28,674 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:31,050 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:33,300 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:35,654 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:37,899 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:40,250 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:42,519 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:44,770 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:47,113 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:49,380 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:51,682 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:53,970 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:56,312 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:42:58,592 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:00,971 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:03,209 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:05,446 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:07,812 - sltp - INFO - Market data update received, triggering SL/TP check
