2025-07-02 23:35:39,913 - INFO - app.core.config - .env file loaded successfully.
2025-07-02 23:35:39,922 - INFO - app.core.config - Settings instance loaded. Project: Trading App, API Prefix: /api/v1
2025-07-02 23:35:39,922 - INFO - app.database.session - Attempting to connect to database using URL: mysql+aiomysql://roo...
2025-07-02 23:35:40,493 - INFO - app.main - Application startup initiated
2025-07-02 23:35:40,524 - INFO - app.main - Firebase already initialized
2025-07-02 23:35:40,524 - WARNING - app.dependencies.redis_client - Redis client not initialized, attempting late connection.
2025-07-02 23:35:40,530 - INFO - app.main - Redis initialized
2025-07-02 23:35:40,534 - INFO - app.main - Scheduler initialized
2025-07-02 23:35:40,534 - INFO - app.main - Background tasks initialized
2025-07-02 23:35:41,604 - INFO - app.main - Service account JWT for 'barclays_service_provider' was generated and pushed to Firebase.
2025-07-02 23:35:41,605 - INFO - app.main - Application startup completed
2025-07-02 23:35:41,605 - INFO - app.firebase_stream - Starting Firebase Admin event processing task for path: 'datafeeds'. Queuing data for Redis publishing.
2025-07-02 23:35:41,605 - INFO - app.firebase_stream - Attempting to start Firebase Admin listener for path: 'datafeeds'.
2025-07-02 23:35:42,240 - INFO - app.firebase_stream - Firebase Admin listener started successfully for path: 'datafeeds'. Queuing data for Redis publishing.
2025-07-02 23:35:44,609 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'AUDCHF'.
2025-07-02 23:35:44,612 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'AUDJPY'.
2025-07-02 23:35:44,616 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'AUDNZD'.
2025-07-02 23:35:44,619 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'AUDSGD'.
2025-07-02 23:35:44,623 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'AUDUSD'.
2025-07-02 23:35:44,626 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'AUS200'.
2025-07-02 23:35:44,629 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'BTCUSD'.
2025-07-02 23:35:44,633 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'CADCHF'.
2025-07-02 23:35:44,637 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'CADJPY'.
2025-07-02 23:35:44,640 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'CHFJPY'.
2025-07-02 23:35:44,643 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'CHFSGD'.
2025-07-02 23:35:44,646 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'CN50U'.
2025-07-02 23:35:44,649 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'D30'.
2025-07-02 23:35:44,652 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'DE30'.
2025-07-02 23:35:44,656 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURAUD'.
2025-07-02 23:35:44,659 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURCAD'.
2025-07-02 23:35:44,663 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURCHF'.
2025-07-02 23:35:44,665 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURCZK'.
2025-07-02 23:35:44,669 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURGBP'.
2025-07-02 23:35:44,672 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURJPY'.
2025-07-02 23:35:44,675 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURNOK'.
2025-07-02 23:35:44,679 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURNZD'.
2025-07-02 23:35:44,682 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURPLN'.
2025-07-02 23:35:44,686 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURSEK'.
2025-07-02 23:35:44,689 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURSGD'.
2025-07-02 23:35:44,692 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURTRY'.
2025-07-02 23:35:44,694 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURUSD'.
2025-07-02 23:35:44,697 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'EURZAR'.
2025-07-02 23:35:44,699 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'FR40'.
2025-07-02 23:35:44,702 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'GBPAUD'.
2025-07-02 23:35:44,706 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'GBPCAD'.
2025-07-02 23:35:44,708 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'GBPCHF'.
2025-07-02 23:35:44,711 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'GBPJPY'.
2025-07-02 23:35:44,715 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'GBPNOK'.
2025-07-02 23:35:44,718 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'GBPNZD'.
2025-07-02 23:35:44,721 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'GBPSEK'.
2025-07-02 23:35:44,724 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'GBPSGD'.
2025-07-02 23:35:44,727 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'GBPTRY'.
2025-07-02 23:35:44,730 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'GBPUSD'.
2025-07-02 23:35:44,733 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'HKG50'.
2025-07-02 23:35:44,736 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'IND50'.
2025-07-02 23:35:44,739 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'JP225'.
2025-07-02 23:35:44,743 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'NGAS'.
2025-07-02 23:35:44,747 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'NOKJPY'.
2025-07-02 23:35:44,750 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'NOKSEK'.
2025-07-02 23:35:44,755 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'NZDCAD'.
2025-07-02 23:35:44,758 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'NZDCHF'.
2025-07-02 23:35:44,761 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'NZDJPY'.
2025-07-02 23:35:44,766 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'NZDUSD'.
2025-07-02 23:35:44,769 - DEBUG - app.core.cache - Group-symbol settings cached for group 'Standard', symbol 'SEKJPY'.
